name,backend,device,p50_ms,p95_ms,p99_ms,max_ms,jitter_ms
ACT,openvino,CPU,19.574356265366077,20.939590130001307,24.33589760214087,79.32829670608044,4.761541336774794
ACT,openvino,GPU,22.138879634439945,22.243706695735455,22.28710412979126,23.475637659430504,0.14822449535131454
ACT,torch,CPU,33.240389078855515,37.35041003674269,39.17982168495655,49.07866381108761,5.939432606101036
ACT,torch,GPU,11.254759505391121,13.74550648033619,13.873465973883867,15.033114701509476,2.6187064684927464
SmolVLA,openvino,CPU,801.7807370051742,806.2724472954869,807.6661892794073,823.5236741602421,5.885452274233103
SmolVLA,torch,CPU,2765.496363863349,2807.5385816395283,2957.007913794368,3210.7194159179926,191.5115499310191
SmolVLA,torch,GPU,259.27463732659817,261.04369005188346,268.6433356255293,282.75349736213684,9.368698298931122
Pi0.5,openvino,CPU,4067.046974785626,4072.0106499269605,4085.304411854595,4166.986092925072,18.25743706896901
Pi0.5,openvino,GPU,7756.938214413822,7761.672173347324,7765.706552155316,7771.968722343445,8.768337741494179
Pi0.5,torch,CPU,32171.120619401336,32967.98803340644,33118.60698554665,33259.481044486165,947.4863661453128
Pi0.5,torch,GPU,371.36820517480373,375.9891309775412,379.1646204702556,391.1038190126419,7.7964152954518795
